제품코드,제품,카테고리,설명
1,,마우스,
2,,마우스,
3,,마우스,
4,,마우스,
5,,마우스,
6,,마우스,
7,,마우스,
8,,마우스,
9,,마우스,
10,,마우스,
11,,마우스,
12,,마우스,
13,,마우스,
14,,마우스,
15,,마우스,
16,Corsair K100 RGB Optical,키보드-커세어,"고성능 OPX 광학 스위치, RGB 조명, 스크롤 휠과 G-키를 포함한 다양한 매크로 기능."
17,Corsair K95 RGB Platinum XT,키보드-커세어,"체리 MX 스위치, 개별 키 RGB 백라이트, 매크로 키 및 메모리 폼 손목 받침대."
18,Razer Huntsman V2 Analog,키보드,"아날로그 입력을 지원, 맞춤형 키 액추에이션, RGB 조명."
19,Razer BlackWidow V3 Pro,키보드,"무선 연결, 녹색 및 노란색 스위치 옵션, 알루미늄 프레임."
20,Logitech G915 TKL Lightspeed Wireless,키보드,"로우 프로파일 디자인, LIGHTSPEED 무선 기술, 글라이버 키 스위치."
21,Logitech G Pro X,키보드,"교체 가능한 스위치, 컴팩트한 텐키리스 디자인, 포커스를 둔 고성능."
22,SteelSeries Apex Pro,키보드,"조절 가능한 스위치 액추에이션, OLED 스마트 디스플레이, 알루미늄 프레임."
23,SteelSeries Apex 7 TKL,키보드,"기계식 스위치, 텐키리스 디자인, 튼튼한 빌드 품질."
24,ASUS ROG Claymore II,키보드,"탈착식 넘버패드, 로버스 스위치, Aura Sync RGB."
25,ASUS ROG Strix Flare,키보드,"체리 MX 스위치, 맞춤형 RGB 조명, 알루미늄 빌드."
26,MSI Vigor GK50 Elite LL,키보드,"저음 반응 스위치, RGB 백라이트, 견고한 구조."
27,MSI Vigor GK70,키보드,"컴팩트한 텐키리스 디자인, RGB 조명, 체리 MX 스위치."
28,HyperX Alloy Elite RGB,키보드,"체리 MX 스위치, 풍부한 RGB 조명, 손목 받침대."
29,HyperX Alloy FPS Pro,키보드,"텐키리스 디자인, 체리 MX 스위치, 포커스된 게이밍 퍼포먼스."
30,Ducky Shine 7,키보드,"견고한 아연 합금 프레임, 다양한 체리 MX 스위치 옵션, RGB 백라이트."
31,,헤드폰,
32,,헤드폰,
33,,헤드폰,
34,,헤드폰,
35,,헤드폰,
36,,헤드폰,
37,,헤드폰,
38,,헤드폰,
39,,헤드폰,
40,,헤드폰,
41,,헤드폰,
42,,헤드폰,
43,,헤드폰,
44,,헤드폰,
45,,헤드폰,
